ip,factory,phase,datacenter,room,row,col,side,is_pdu,name,has_data,protocol_status,status_code,enabled,message
,F12,P7,DC1,R0,D,27,L,1,F12P7DC1R0D27PL,0,0,0,0,
,F12,P7,DC1,R0,D,27,R,1,F12P7DC1R0D27PR,0,0,0,0,
,F12,P7,DC1,R0,D,30,L,1,F12P7DC1R0D30PL,0,0,0,0,
,F12,P7,DC1,R0,D,30,R,1,F12P7DC1R0D30PR,0,0,0,0,
,F12,P7,DC1,R0,E,27,L,1,F12P7DC1R0E27PL,0,0,0,0,
,F12,P7,DC1,R0,E,27,R,1,F12P7DC1R0E27PR,1,1,1,1,
,F12,P7,DC1,R0,E,30,L,1,F12P7DC1R0E30PL,0,0,0,0,
,F12,P7,DC1,R0,E,30,R,1,F12P7DC1R0E30PR,0,0,0,0,
,F12,P7,DC1,R0,F,27,L,1,F12P7DC1R0F27PL,0,0,0,0,
,F12,P7,DC1,R0,F,27,R,1,F12P7DC1R0F27PR,0,0,0,0,通訊正常但10分鐘內無資料
,F12,P7,DC1,R0,F,30,L,1,F12P7DC1R0F30PL,0,0,0,0,
,F12,P7,DC1,R0,F,30,R,1,F12P7DC1R0F30PR,0,0,0,0,
,F12,P7,DC1,R0,G,27,L,1,F12P7DC1R0G27PL,0,0,0,0,
,F12,P7,DC1,R0,G,27,R,1,F12P7DC1R0G27PR,0,0,0,0,
,F12,P7,DC1,R0,G,30,L,1,F12P7DC1R0G30PL,0,0,0,0,
,F12,P7,DC1,R0,G,30,R,1,F12P7DC1R0G30PR,0,0,0,0,
,F12,P7,DC1,R0,H,27,L,1,F12P7DC1R0H27PL,0,0,0,0,
,F12,P7,DC1,R0,H,27,R,1,F12P7DC1R0H27PR,0,0,0,0,
,F12,P7,DC1,R0,H,30,L,1,F12P7DC1R0H30PL,0,0,0,0,
,F12,P7,DC1,R0,H,30,R,1,F12P7DC1R0H30PR,0,0,0,0,
,F12,P7,DC1,R0,I,27,L,1,F12P7DC1R0I27PL,0,0,0,0,
,F12,P7,DC1,R0,I,27,R,1,F12P7DC1R0I27PR,0,0,0,0,
,F12,P7,DC1,R0,I,30,L,1,F12P7DC1R0I30PL,0,0,0,0,
,F12,P7,DC1,R0,I,30,R,1,F12P7DC1R0I30PR,0,0,0,0,
,F12,P7,DC1,R0,J,27,L,1,F12P7DC1R0J27PL,0,0,0,0,
,F12,P7,DC1,R0,J,27,R,1,F12P7DC1R0J27PR,0,0,0,0,
,F12,P7,DC1,R0,J,30,L,1,F12P7DC1R0J30PL,0,0,0,0,
,F12,P7,DC1,R0,J,30,R,1,F12P7DC1R0J30PR,0,0,0,0,
,F12,P7,DC1,R0,K,27,L,1,F12P7DC1R0K27PL,0,0,0,0,
,F12,P7,DC1,R0,K,27,R,1,F12P7DC1R0K27PR,0,0,0,0,
,F12,P7,DC1,R0,K,30,L,1,F12P7DC1R0K30PL,0,0,0,0,
,F12,P7,DC1,R0,K,30,R,1,F12P7DC1R0K30PR,0,0,0,0,
