device_type,factory,phase,dc,room,rack,side,name,ip_key,ip,port,slave_id,brand,model,version,serial_number,snmp_engine_id,protocol,interval,template_version,snmp_version,snmp_community,create_at,update_at
gateway,F12,P7,DC1,R1,#,L,F12P7-DC1-pdu,10.1.249.35:7001:0,10.1.249.34,7001,0,DELTA,PDUE428,HW05FW02,Y5R22700013WJ,#,snmp,60s,V1,#,#dd,2025-04-17 19:16:08,2025-04-17 22:47:13
switch,F12,P7,DC1,R1,#,#,F12P7-DC1-pdu,10.1.249.37:161,10.1.249.37,161,#,DELTA,PDUE428,01.12.12h,Y5R22700013WJ,#,snmp,60s,V1,1,public,2025-04-17 19:16:41,2025-04-17 22:40:17
