#group,false,false,false,false
#datatype,string,long,string,double
#default,_result,,,
,result,table,name,_value
,,0,F12P7DC1R2G91PR,98.59999999999913
,,0,F12P7DC1R2G91PL,97.99999999999939
,,0,F12P7DC1R2W94PL,95.79999999999905
,,0,F12P7DC1R2O83PR,92.99999999999896
,,0,F12P7DC1R2Z86PL,91.49999999999957
,,0,F12P7DC1R2N83PR,90.29999999999913
,,0,F12P7DC1R3C67PL,89.89999999999945
,,0,F12P7DC1R2N83PL,86.49999999999939
,,0,F12P7DC1R3Y67PL,86.19999999999904
,,0,F12P7DC1R2J83PL,85.29999999999968
,,0,F12P7DC1R3W75PL,83.69999999999973
,,0,F12P7DC1R2U83PL,83.69999999999952
,,0,F12P7DC1R1I102PR,79.09999999999947
,,0,F12P7DC1R2L83PL,78.09999999999978
,,0,F12P7DC1R3W75PR,77.39999999999992
,,0,F12P7DC1R1M102PR,77.3
,,0,F12P7DC1R2U91PR,77.20000000000006
,,0,F12P7DC1R2Y83PR,73.90000000000019
,,0,F12P7DC1R2H91PL,72.90000000000012
,,0,F12P7DC1R2J83PR,72.70000000000019
,,0,F12P7DC1R2D83PL,72.60000000000029
,,0,F12P7DC1R1M102PL,72.00000000000016
,,0,F12P7DC1R1H102PR,71
,,0,F12P7DC1R2K83PR,70.40000000000028
,,0,F12P7DC1R2Y83PL,70.0000000000003
,,0,F12P7DC1R2U91PL,67.10000000000042
,,0,F12P7DC1R2H91PR,65.60000000000055
,,0,F12P7DC1R3S75PR,64.9000000000005
,,0,F12P7DC1R2D83PR,64.4000000000006
,,0,F12P7DC1R2C83PR,64.10000000000062
,,0,F12P7DC1R2Z86PR,63.70000000000055
,,0,F12P7DC1R3S67PL,61.90000000000061
,,0,F12P7DC1R2K83PL,60.50000000000053
,,0,F12P7DC1R3R78PL,59.40000000000034
,,0,F12P7DC1R2H83PR,57.100000000000534
,,0,F12P7DC1R2F83PR,55.60000000000042
,,0,F12P7DC1R2H83PL,55.2000000000005
,,0,F12P7DC1R2E86PR,54.500000000000504
,,0,F12P7DC1R2F94PL,54.500000000000476
,,0,F12P7DC1R2G83PL,53.80000000000035
,,0,F12P7DC1R3S75PL,50.80000000000037
,,0,F12P7DC1R2R86PR,50.80000000000036
,,0,F12P7DC1R3E78PL,48.80000000000034
,,0,F12P7DC1R2V83PR,48.60000000000027
,,0,F12P7DC1R2C83PL,47.400000000000404
,,0,F12P7DC1R2J94PR,46.799999999999976
,,0,F12P7DC1R2U86PR,46.30000000000036
,,0,F12P7DC1R3R78PR,45.80000000000028
,,0,F12P7DC1R2R94PR,45.500000000000256
,,0,F12P7DC1R1J102PR,44.60000000000017
,,0,F12P7DC1R3O78PL,40.60000000000031
,,0,F12P7DC1R3X70PL,38.70000000000026
,,0,F12P7DC1R3X78PR,38.6
,,0,F12P7DC1R3O67PL,38.00000000000022
,,0,F12P7DC1R2W86PR,37.600000000000236
,,0,F12P7DC1R2R83PR,37.20000000000016
,,0,F12P7DC1R2V83PL,37.10000000000019
,,0,F12P7DC1R2F91PR,35.50000000000017
,,0,F12P7DC1R3O75PR,34.400000000000084
,,0,F12P7DC1R1X102PR,34.3000000000002
,,0,F12P7DC1R1J102PL,33.7000000000002
,,0,F12P7DC1R2U86PL,32.40000000000014
,,0,F12P7DC1R1D99PR,31.600000000000072
,,0,F12P7DC1R1T102PL,29.200000000000067
,,0,F12P7DC1R2J94PL,27.50000000000012
,,0,F12P7DC1R2J86PL,27.400000000000123
,,0,F12P7DC1R2F91PL,26.80000000000014
,,0,F12P7DC1R3Y67PR,26.10000000000005
,,0,F12P7DC1R1R102PR,25.800000000000114
,,0,F12P7DC1R2J86PR,21.10000000000003
,,0,F12P7DC1R3O78PR,20.800000000000026
,,0,F12P7DC1R1H102PL,18.39999999999997
,,0,F12P7DC1R3T78PR,18.199999999999992
,,0,F12P7DC1R3E67PR,17.69999999999998
,,0,F12P7DC1R3X78PL,16.6
,,0,F12P7DC1R2T86PR,14.399999999999967
,,0,F12P7DC1R3W67PR,12.199999999999987
,,0,F12P7DC1R3I67PL,10.399999999999972
,,0,F12P7DC1R3E67PL,9.699999999999983
,,0,F12P7DC1R2S83PL,6.799999999999994
,,0,F12P7DC1R2S83PR,6.099999999999994
,,0,F12P7DC1R1T102PR,2.500000000000002
,,0,F12P7DC1R3I67PR,2.300000000000002
,,0,F12P7DC1R3Y75PR,1
,,0,F12P7DC1R3Z67PL,0
,,0,F12P7DC1R3Z78PR,0
,,0,F12P7DC1R1U102PL,0
,,0,F12P7DC1R1U99PR,0
,,0,F12P7DC1R1U99PL,0
,,0,F12P7DC1R1U102PR,0
,,0,F12P7DC1R3Z78PL,0
,,0,F12P7DC1R1F99PL,0
,,0,F12P7DC1R1Z107PL,0
,,0,F12P7DC1R2Z91PR,0
,,0,F12P7DC1R1F99PR,0
,,0,F12P7DC1R1W99PR,0
,,0,F12P7DC1R1H99PR,0
,,0,F12P7DC1R3G70PL,0
,,0,F12P7DC1R1Z107PR,0
,,0,F12P7DC1R1C99PL,0
,,0,F12P7DC1R1Z99PL,0
,,0,F12P7DC1R1C99PR,0
,,0,F12P7DC1R1H99PL,0
,,0,F12P7DC1R1O99PR,0
,,0,F12P7DC1R2Z91PL,0
,,0,F12P7DC1R1Z99PR,0
,,0,F12P7DC1R1W99PL,0
,,0,F12P7DC1R3Z67PR,0
,,0,F12P7DC1R1I102PL,0
,,0,F12P7DC1R3O75PL,0

