factory,datacenter,room,rack,side,type,manufacturer,model,protocol,ip,panel,
F12P7,DC1,R4,U59,R,PDU,Delta,PDUE428,snmp,192.168.23.108,U8G,
F12P7,DC1,R4,V59,R,PDU,Delta,PDUE428,snmp,192.168.23.109,U8G,
F12P7,DC1,R4,W59,R,PDU,Delta,PDUE428,snmp,192.168.23.110,U8G,
F12P7,DC1,R4,Y59,R,PDU,Delta,PDUE428,snmp,192.168.23.111,U8G,
F12P7,DC1,R4,Z59,R,PDU,Delta,PDUE428,snmp,192.168.23.112,U8G,
F12P7,DC1,R4,E62,R,PDU,Delta,PDUE428,snmp,192.168.23.114,U4F,
F12P7,DC1,R4,F62,R,PDU,Delta,PDUE428,snmp,192.168.23.115,U4F,
F12P7,DC1,R4,G62,R,PDU,Delta,PDUE428,snmp,192.168.23.116,U4F,
F12P7,DC1,R4,I62,R,PDU,Delta,PDUE428,snmp,192.168.23.117,U4F,
F12P7,DC1,R4,J62,R,PDU,Delta,PDUE428,snmp,192.168.23.118,U4F,
F12P7,DC1,R4,K62,R,PDU,Delta,PDUE428,snmp,192.168.23.119,U4F,
F12P7,DC1,R4,M62,R,PDU,Delta,PDUE428,snmp,192.168.23.120,U4F,
F12P7,DC1,R4,N62,R,PDU,Delta,PDUE428,snmp,192.168.23.121,U4F,
F12P7,DC1,R4,O62,R,PDU,Delta,PDUE428,snmp,192.168.23.122,U4F,
F12P7,DC1,R4,R62,R,PDU,Delta,PDUE428,snmp,192.168.23.123,U8G,
F12P7,DC1,R4,T62,R,PDU,Delta,PDUE428,snmp,192.168.23.124,U8G,
F12P7,DC1,R4,U62,R,PDU,Delta,PDUE428,snmp,192.168.23.125,U8G,
F12P7,DC1,R4,W62,R,PDU,Delta,PDUE428,snmp,192.168.23.126,U8G,
F12P7,DC1,R4,X62,R,PDU,Delta,PDUE428,snmp,192.168.23.127,U8G,
F12P7,DC1,R4,Z62,R,PDU,Delta,PDUE428,snmp,192.168.23.128,U8G,
